method,iteration,elapsed_s,objective,gap_to_exact,trace,upper_bound,rel_gap,rmp_obj,min_reduced_cost,columns
dwp,12,2.9221742153167725,80183.20430626265,99657.7337613082,best_certified_dual,,,182577.738401153,-71201.24576846277,82
dwp,13,3.3250086307525635,80183.20430626265,99657.7337613082,best_certified_dual,,,182577.73840115283,-48679.83947003019,88
dwp,14,3.7672741413116455,80183.20430626265,99657.7337613082,best_certified_dual,,,182577.7384011535,-48662.15184475697,94
dwp,15,4.2461957931518555,80183.20430626265,99657.7337613082,best_certified_dual,,,182577.73840115248,-50040.46739158058,100
dwp,16,4.7239062786102295,102295.04537769246,77545.8926898784,best_certified_dual,,,182577.73840115435,-36255.417019185144,105
dwp,17,5.2205915451049805,119683.10242316412,60157.83564440673,best_certified_dual,,,182577.7384011534,-27930.247829680757,110
dwp,18,5.755237102508545,143220.70207063446,36620.23599693639,best_certified_dual,,,182577.73840115318,-17316.010726926936,115
dwp,19,6.303658962249756,143220.70207063446,36620.23599693639,best_certified_dual,,,182577.73840115292,-22848.310895282066,121
dwp,20,6.88424277305603,143220.70207063446,36620.23599693639,best_certified_dual,,,182577.73840115714,-31128.243169649584,127
dwp,21,7.4726481437683105,150098.6579619483,29742.280105622543,best_certified_dual,,,182577.7384011537,-14975.962536051637,132
dwp,22,8.092262268066406,150098.6579619483,29742.280105622543,best_certified_dual,,,182577.73840115452,-28106.735589187505,137
dwp,23,8.755414247512817,150098.6579619483,29742.280105622543,best_certified_dual,,,182577.73840115254,-19835.063861363495,142
dwp,24,9.417867660522461,150098.6579619483,29742.280105622543,best_certified_dual,,,182573.38007644983,-22417.858203449505,147
dwp,25,10.083897352218628,152695.02343864407,27145.91462892678,best_certified_dual,,,182567.90037107098,-13630.975691509228,152
dwp,26,10.78062915802002,161390.9538775243,18449.984190046554,best_certified_dual,,,182567.00839495374,-9285.702622368968,157
dwp,27,11.521990060806274,161390.9538775243,18449.984190046554,best_certified_dual,,,182562.0931886385,-11493.048915235842,162
dwp,28,12.260706186294556,161390.9538775243,18449.984190046554,best_certified_dual,,,182557.85290026027,-13043.816564143932,167
dwp,29,13.014792680740356,171059.28733134808,8781.650736222771,best_certified_dual,,,182554.15115219294,-6325.0693919555415,171
dwp,30,13.788880825042725,171059.28733134808,8781.650736222771,best_certified_dual,,,182553.09210125427,-6332.47057379631,175
dwp,31,14.617170572280884,171059.28733134808,8781.650736222771,best_certified_dual,,,182540.4183287517,-5862.84744290177,179
dwp,32,15.462445735931396,171059.28733134808,8781.650736222771,best_certified_dual,,,182499.66283928955,-5796.372157788355,183
dwp,33,16.30275297164917,172239.89220626283,7601.045861308026,best_certified_dual,,,182473.86218716227,-4500.814436542438,187
dwp,34,17.159639596939087,172239.89220626283,7601.045861308026,best_certified_dual,,,182384.8582779651,-4931.672782441754,191
dwp,35,18.094087600708008,172239.89220626283,7601.045861308026,best_certified_dual,,,182162.77967856257,-4875.3349007216075,196
dwp,36,19.079508781433105,172239.89220626283,7601.045861308026,best_certified_dual,,,181865.63548057526,-4276.661284361366,199
