build_time,delta,end_to_end_time,experiment,ftr_component,gen_uplift,method,milp_obj,n_constraints,n_nonzeros,n_variables,parameter_family,pricing_obj,pricing_time,primal_violation,response_time,seed,status,total_uplift,objective_change_pct,uplift_change_pct,study,schedule_change_ratio
0.4014706611633301,0.005,4.870931062250747,coefficient_perturbation,16.06471131458433,2816.2175447743757,dwp_incremental,182683.6300790114,,,,joint,179851.34782292333,4.811471462249756,,0.0594596000009914,2,optimal,2832.2822560889595,0.0057883242947357255,3.488814993748131,joint,
0.230297199999768,0.005,1.014112599999862,coefficient_perturbation,14.979605489389945,2712.0041446595906,chp,182304.66879693203,64725.0,466042.0,19335.0,joint,179577.6850653474,0.9530647999999928,0.0,0.0610477999998693,3,optimal,2726.983750148981,-0.14638100964501222,-0.358689108963815,joint,
0.3795106410980224,0.005,4.321097279260357,coefficient_perturbation,14.979519201236624,2712.0042217539703,dwp_incremental,182304.66879693203,,,,joint,179577.68505597676,4.259507179260254,,0.0615901000001031,3,optimal,2726.983740955207,-0.14638101485553198,-0.3586894448953001,joint,
0.2280895999992935,0.005,0.9931091999987984,coefficient_perturbation,16.20350894366736,2683.3575573886637,chp,182991.38418153647,64725.0,466042.0,19335.0,joint,180291.82311544075,0.9288089999990916,0.0,0.0643001999997068,4,optimal,2699.5610663323305,0.2507132547931712,-1.3606870722784785,joint,
0.3830490112304687,0.005,4.367051686960622,coefficient_perturbation,16.203508932012188,2683.3575571777506,dwp_incremental,182991.38418153647,,,,joint,180291.82311542693,4.310053586959839,,0.0569981000007828,4,optimal,2699.5610661097626,0.2507132547854842,-1.3606870804108915,joint,
0.252216099999714,0.005,1.0401163000005909,coefficient_perturbation,15.821855741592293,2758.84012079158,chp,183196.34012382853,64725.0,466042.0,19335.0,joint,180421.67814782623,0.9779488000003768,0.0,0.0621675000002142,5,optimal,2774.661976533172,0.3229187458210833,1.3834265078310557,joint,
0.4554004669189453,0.005,4.524083247042654,coefficient_perturbation,15.821855729258766,2758.840120775745,dwp_incremental,183196.34012382853,,,,joint,180421.67814732305,4.466397047042847,,0.0576861999998072,5,optimal,2774.661976505004,0.32291874554129374,1.383426506801826,joint,
0.2222732000009273,0.005,0.9913074000014604,coefficient_perturbation,15.051710365763505,2791.5377054980936,chp,182666.62132757928,64725.0,466042.0,19335.0,joint,179860.03195015376,0.9254921000010654,0.0,0.0658153000003949,6,optimal,2806.589415863857,0.010617106509049144,2.550023818185283,joint,
0.3893311023712158,0.005,4.50459987049544,coefficient_perturbation,15.051710273090478,2791.5377050337847,dwp_incremental,182666.62132757928,,,,joint,179860.03191227268,4.4463300704956055,,0.0582697999998345,6,optimal,2806.5894153068757,0.010617085445391184,2.5500237978337297,joint,
0.2458621999994648,0.005,0.9993300999994972,coefficient_perturbation,15.868658078993288,2745.0625791354937,chp,182698.02483049865,64725.0,466042.0,19335.0,joint,179937.09359330055,0.9359955999989324,0.0,0.0633345000005647,7,optimal,2760.931237214487,0.053466995963579504,0.8817187638292286,joint,
0.4163205623626709,0.005,4.551097966455927,coefficient_perturbation,15.868658079381053,2745.0625791357656,dwp_incremental,182698.02483049865,,,,joint,179937.09359328312,4.495319366455078,,0.0557786000008491,7,optimal,2760.9312372151467,0.053466995953885835,0.8817187638533385,joint,
0.2480374999995547,0.005,1.0547306000007666,coefficient_perturbation,6.402356965883424,2712.199787048274,chp,182443.3203545474,64725.0,466042.0,19335.0,joint,179724.71845189357,0.97758260000046,0.0,0.0771480000003066,8,optimal,2718.602144014158,-0.06462354766581915,-0.6649447742571943,joint,
